location,country,Lat,Lon,parameter,n,yBaseline,y2020,diffBase,diffBaseRel
ES1878A,ES,37.0161,-6.57042,no2,2,6.5503032,3.4279411,-3.1223621,-47.66744385206474
ES1884A,ES,39.634167,-0.26583332,no2,2,23.9558065,17.079985,-6.875821500000001,-28.70210819243343
ES1884A,ES,39.634167,-0.26583332,pm25,2,9.7649663,12.231573000000001,2.4666067000000016,25.25975640079784
ES1885A,ES,39.480278,-0.3363889,no2,2,27.278455,14.874770000000002,-12.403685,-45.47062874345339
ES1885A,ES,39.480278,-0.3363889,pm25,2,18.2929125,13.910168500000001,-4.382743999999999,-23.958699851650188
ES1886A,ES,39.427223,-0.7838889,no2,2,19.684415,12.938551,-6.745864000000001,-34.27007609827369
ES1886A,ES,39.427223,-0.7838889,pm25,2,8.947892,9.3107765,0.36288449999999983,4.055530621066949
ES1901A,ES,42.88778,-8.530833,no2,2,29.760546500000004,13.2390915,-16.521455000000003,-55.51462235412915
ES1901A,ES,42.88778,-8.530833,pm25,2,17.811321500000002,12.0775595,-5.733762000000002,-32.19167089875955
ES1905A,ES,42.998055,-7.55,no2,2,19.4620505,11.239629,-8.2224215,-42.24848507098468
ES1905A,ES,42.998055,-7.55,pm25,2,13.913166499999999,13.576369,-0.3367974999999994,-2.42071062687275
ES1911A,ES,39.705276,-0.33666667,no2,2,10.215595,7.427674,-2.7879210000000008,-27.29083327990196
ES1911A,ES,39.705276,-0.33666667,pm25,2,5.176144900000001,7.953851,2.7777060999999996,53.663607832926
ES1912A,ES,39.4575,-0.34277776,no2,2,36.964247,20.309927000000002,-16.65432,-45.055212405652405
ES1912A,ES,39.4575,-0.34277776,pm25,2,15.2488365,11.31017565,-3.9386608499999998,-25.829254907415393
ES1913A,ES,38.451668,-1.0647222,no2,2,2.468064,4.14122545,1.6731614500000003,67.79246607867545
ES1914A,ES,38.454723,-0.80333334,no2,2,5.8370065,7.5123755,1.6753689999999999,28.702537850523207
ES1914A,ES,38.454723,-0.80333334,pm25,2,11.638489,10.7220925,-0.9163964999999994,-7.873844276520769
ES1924A,ES,37.16568,-3.6001,no2,2,25.62605,42.817569500000005,17.191519500000005,67.08610769119706
ES1930A,ES,40.902695,0.80979544,no2,2,6.636219199999999,4.412758,-2.223461199999999,-33.50493907735898
ES1943A,ES,40.384724,-3.718611,no2,2,76.01268999999999,46.641723999999996,-29.370965999999996,-38.639556105697615
ES1948A,ES,40.939552,0.831337,no2,2,3.7624940000000002,3.0409091000000004,-0.7215848999999999,-19.178366796066644
ES1956A,ES,28.645395,-17.771555,o3,2,63.678199500000005,54.65674,-9.021459500000006,-14.1672653605729
ES1963A,ES,40.11922,-3.83279,no2,2,20.9165385,15.10401,-5.812528500000001,-27.789151154240937
ES1968A,ES,38.351112,-0.5138889,no2,2,17.824884,13.0506265,-4.774257500000001,-26.784227600022536
ES1968A,ES,38.351112,-0.5138889,pm25,2,6.20804575,7.8722578,1.6642120499999997,26.80734190787817
ES1970A,ES,39.45028,-0.3963889,no2,2,48.0173,24.4650945,-23.5522055,-49.04941656444656
ES2000A,ES,28.457954,-16.26333,o3,2,65.0913375,56.56156250000001,-8.529774999999987,-13.10431668422851
ES2000A,ES,28.457954,-16.26333,pm25,2,11.1464775,54.386154,43.2396765,387.92234138542875
ES2002A,ES,28.52722,-14.00444,o3,2,73.73028500000001,81.76041799999999,8.030132999999978,10.891227397262844
ES2007A,ES,37.574444,-0.9266667,o3,2,49.7909825,38.1162905,-11.674692,-23.447402348407167
ES2008A,ES,37.99111,-0.69,no2,2,16.593787,11.85473,-4.739056999999999,-28.55922520880857
ES2014A,ES,42.06167,-7.4085417,no2,2,1.83842705,1.2977064999999999,-0.5407205500000001,-29.41212978779876
ES2014A,ES,42.06167,-7.4085417,pm25,2,7.84283125,7.6627281499999995,-0.18010310000000018,-2.296404120642022
ES2015A,ES,42.181427,-8.523931,no2,2,13.196749,8.229599499999999,-4.967149500000001,-37.639190530940624
ES2018A,ES,39.782223,-0.35916665,no2,2,7.79308135,7.49433025,-0.2987510999999996,-3.833542684627559
ES2018A,ES,39.782223,-0.35916665,pm25,2,8.36510515,7.2305648,-1.13454035,-13.562774521728516
ES2019A,ES,39.564724,-0.6255556,no2,1,9.18107,12.4487705,3.2677005,35.59171752312095
ES2019A,ES,39.564724,-0.6255556,pm25,1,8.134454,6.455645,-1.6788090000000002,-20.638250582030462
ES2028A,ES,40.31285,-3.71724,pm25,2,14.688846,11.8812255,-2.8076205000000005,-19.11396239023815
ES2055A,ES,39.42528,-0.4825,o3,1,55.904762,38.554054,-17.350707999999997,-31.036189725662368
ES2061A,ES,42.71648,-8.644105,no2,2,28.2365025,16.387722,-11.8487805,-41.96263506785233
ES2061A,ES,42.71648,-8.644105,pm25,2,15.651552500000001,11.1790555,-4.472497000000001,-28.575420872785624
ES2063A,ES,42.2224,-8.711082,no2,2,28.991371,13.319749999999999,-15.671621000000002,-54.05615691648388
ES2065A,ES,39.830235,2.9007194,o3,2,86.73164,78.393345,-8.338295000000002,-9.613902146898182
ES2068A,ES,43.0819,-1.9127,no2,2,5.585335,3.8954994999999997,-1.6898355,-30.25486385328723
Estación T21,MX,21.108683,-101.68863,o3,2,0.048587614716,0.04881719721359999,2.2958249759999494e-4,0.47251238601015944
FAB,US,39.9603,-75.1424,pm25,2,8.707782,7.3284373,-1.3793446999999999,-15.840367845681023
FI00280,FI,61.05748,28.24585,pm25,3,6.1173683,3.5231838,-2.5941845,-42.406871268483215
FI00370,FI,60.28995,25.03953,pm25,3,6.0771026,4.593807433333334,-1.4832951666666663,-24.407933587737457
FI00425,FI,60.18739,24.9506,pm25,3,5.368899866666666,4.2386956,-1.1302042666666665,-21.050947023311963
FI00446,FI,65.00997,25.47132,pm25,3,5.301740966666666,3.9901657,-1.3115752666666665,-24.738576911110123
FI00801,FI,61.4991,23.80221,pm25,3,4.615117566666667,3.2549971666666666,-1.3601204000000005,-29.47098054064019
Fiumicino Villa Guglielmi,IT,41.76819,12.237048,o3,2,51.5166,51.668429,0.15182900000000643,0.2947185955595021
Flat Valley,CA,54.29464,-109.20921,o3,2,0.07764804369839999,0.071057577372,-0.0065904663263999935,-8.4876141271487
Foley West,US,39.045856,-90.84919,o3,3,0.0726435344224,0.0668674283232,-0.0057761060991999985,-7.951301027857075
FR01011,FR,49.11943173684211,6.180831905263157,no2,3,23.197744,16.441458666666666,-6.756285333333334,-29.124751671254472
FR01011,FR,49.11943173684211,6.180831905263157,pm25,3,15.067634,10.681215566666667,-4.386418433333333,-29.111527618293177
FR01012,FR,49.110265,6.2233384,no2,3,20.462155,14.129599666666666,-6.3325553333333335,-30.947646195297292
FR01018,FR,49.10749369230769,6.122773615384615,no2,3,17.86272866666667,11.364546333333333,-6.498182333333336,-36.37844169608579
FR01064,FR,49.125072,6.1812177,no2,3,32.337682,20.340116,-11.997566000000003,-37.10088434910085
FR03071,FR,43.131046,5.924237,pm25,3,10.733961666666668,9.381832000000001,-1.3521296666666665,-12.596743948374447
FR04012,FR,48.827779,2.3274995,no2,2,70.184033,34.702114,-35.481919,-50.55554302500684
FR04029,FR,48.79915692307692,2.1305534384615386,no2,3,24.697876666666666,14.772858666666666,-9.925018,-40.18571367066237
FR04038,FR,48.58193846153846,1.8833350769230768,no2,3,9.212632,6.283772033333333,-2.928859966666666,-31.791782920089133
FR04058,FR,48.92527,2.3566672,pm25,3,18.790429,13.575371333333333,-5.215057666666667,-27.753797780064875
FR04150,FR,48.89138,2.240558666666667,no2,3,35.397505333333335,23.25516766666667,-12.142337666666666,-34.30280623542246
FR04156,FR,48.902485999999996,2.452499733333333,no2,3,35.49707733333334,21.847140333333332,-13.649937000000005,-38.453692600720416
FR04156,FR,48.902485999999996,2.452499733333333,pm25,3,13.158978333333334,11.783746333333333,-1.3752320000000005,-10.450902533340042
FR04329,FR,48.83860738461538,2.4127834615384613,pm25,3,18.495600333333332,13.28272,-5.212880333333333,-28.184434348630045
FR05078,FR,49.49830133333334,0.14270624,no2,3,19.158901666666665,14.632930166666666,-4.525971499999999,-23.623334879756936
FR05087,FR,49.498295,0.758833,no2,3,8.789965333333333,6.153927333333333,-2.636038,-29.989174018737124
FR05089,FR,49.50017523076923,0.11090321461538462,pm25,3,11.026624666666667,10.165630333333333,-0.8609943333333341,-7.808321760838637
FR05090,FR,49.514694,0.100645445,no2,3,11.726963666666666,8.2452332,-3.481730466666667,-29.68995697124328
FR08020,FR,43.675753692307694,4.088421515384615,no2,3,12.234901,10.294175666666668,-1.940725333333333,-15.862207085560668
FR09106,FR,45.65146,0.1623669,no2,3,30.80472,19.677436666666665,-11.127283333333335,-36.12200770964103
FR09203,FR,46.16163,-1.211206,pm25,3,12.589879999999999,11.467793499999999,-1.1220865,-8.912606792121927
FR09404,FR,46.58390231578947,0.3455557452631579,no2,3,22.210580666666665,14.788691333333334,-7.421889333333331,-33.41600764392441
FR09404,FR,46.58390231578947,0.3455557452631579,pm25,3,12.009280333333333,11.456333666666666,-0.5529466666666671,-4.604328080608553
FR11034,FR,50.70654815384615,3.1806541538461537,no2,3,34.028722,26.009562666666667,-8.019159333333334,-23.5658551424098
FR14011,FR,49.250713,4.0230603,no2,3,48.589149666666664,26.223725666666667,-22.365423999999997,-46.029667432816225
FR14012,FR,49.224150900000005,4.0205543200000005,no2,3,19.808915,13.270884,-6.538030999999998,-33.00549777713721
FR14029,FR,48.726612,4.594784,no2,3,13.521482666666666,9.4611357,-4.060346966666666,-30.028859014672154
FR14033,FR,48.2949866,4.0502787,no2,3,16.413250333333334,12.533958333333333,-3.8792920000000013,-23.63512358135199
FR14042,FR,48.6458388,4.966111489999999,no2,3,12.886332666666666,9.383234999999999,-3.503097666666667,-27.18459749008498
FR14051,FR,49.74528253846154,4.7191652,no2,3,18.772944666666668,12.199009,-6.573935666666667,-35.018137982047
FR16031,FR,48.85729,7.31417316,o3,3,60.58039266666667,70.22123666666667,9.640844000000001,15.9141325693399
FR16034,FR,48.59043,7.7449856666666665,no2,3,46.246116,30.38869533333333,-15.85742066666667,-34.28919450590547
FR16038,FR,48.57035530769231,7.766330792307692,no2,3,27.619834666666666,19.049403,-8.570431666666664,-31.02998902817472
FR16057,FR,47.757455,7.347294,no2,3,24.86926233333333,18.485379666666667,-6.383882666666665,-25.669770904744833
FR16069,FR,47.74768,7.321368,no2,3,37.26819066666667,27.130172333333334,-10.138018333333335,-27.20287234765319
FR18089,FR,49.435950818181816,2.0842895454545456,pm25,2,15.756633999999998,8.510551750000001,-7.246082249999997,-45.98750120108138
FR19002,FR,48.108685692307695,-1.6657938461538462,pm25,3,13.297390333333334,10.817972766666667,-2.479417566666667,-18.645895957881063
FR20019,FR,45.758358666666666,4.886214666666667,no2,3,46.62898366666667,34.55460766666667,-12.074376000000001,-25.894572539507276
FR20046,FR,45.778906250000006,4.9246995625,pm25,3,12.002737666666667,13.230426166666668,1.227688500000001,10.228404003275596
FR21001,FR,49.19222,-0.391183356,pm25,3,10.779090666666667,9.4087188,-1.370371866666666,-12.713241859115382
FR21016,FR,49.17525933333333,-0.35361101333333333,no2,3,27.381094,17.30670333333333,-10.07439066666667,-36.793236481590796
FR21019,FR,49.151687307692306,-0.35277820769230767,no2,3,16.858536666666666,11.945805333333334,-4.912731333333332,-29.1409119929547
FR21031,FR,48.445544,0.11083316615384615,no2,3,10.276261,8.3026597,-1.9736013000000003,-19.205441551163407
FR21050,FR,48.64500654545454,-0.45833304090909094,pm25,2,9.589566000000001,7.341801499999999,-2.2477645000000024,-23.439689554250965
FR21060,FR,49.11719,-0.16966571,pm25,3,11.646847333333334,11.379484533333335,-0.267362799999999,-2.295580875648686
FR22011,FR,49.158397666666666,6.7316616,no2,3,17.185237,12.345213333333334,-4.840023666666667,-28.163845902542207
FR23068,FR,47.24746333333333,-1.9366163333333333,no2,3,5.483713466666667,4.064654366666667,-1.4190591000000001,-25.877703286758162
FR23075,FR,47.315719666666666,-2.1907655333333333,no2,3,12.307546666666667,7.544543666666667,-4.763003,-38.69985732331166
FR23110,FR,47.26411110526316,-2.249857794736842,no2,3,10.372655533333333,7.497898866666667,-2.8747566666666664,-27.714760771033152
FR23110,FR,47.26411110526316,-2.249857794736842,pm25,3,8.8067788,11.572584666666668,2.7658058666666676,31.40541995521299
FR23120,FR,47.46853169230769,-0.5560527923076923,pm25,3,11.544315666666666,11.291136766666666,-0.2531789,-2.1931044447358174
FR23181,FR,47.27306333333333,-2.2230532,no2,3,9.999488666666666,8.653461,-1.3460276666666662,-13.460964970675496
FR23182,FR,47.9710548,0.22142209799999998,pm25,3,10.5466415,11.067704433333333,0.521062933333333,4.940557933379389
FR26012,FR,47.275014,4.098330529411765,no2,3,3.6072893333333336,2.964295433333333,-0.6429939000000005,-17.824849647029524
FR26012,FR,47.275014,4.098330529411765,pm25,2,8.045563999999999,8.0106821,-0.03488189999999847,-0.4335544406830705
FR27010,FR,45.46087,5.1810784,no2,3,5.5544277,4.872927733333333,-0.6814999666666663,-12.269490278299354
FR29424,FR,45.42009,4.39542095,pm25,3,10.741418666666668,10.550292333333333,-0.19112633333333484,-1.7793397619482805
FR31008,FR,44.86555153846154,-0.9394413207692308,no2,3,2.8313291333333335,2.4391370666666665,-0.39219206666666695,-13.851871266020488
FR31043,FR,43.47022,-1.5538429,pm25,2,11.6803575,10.4363435,-1.244014,-10.650478805978327
FR32001,FR,46.78247923076923,4.847264823076923,pm25,3,12.987739666666666,10.359061166666667,-2.6286784999999995,-20.239691951529977
FR33101,FR,45.5647303125,5.928333,pm25,3,11.636578333333333,9.233637333333332,-2.402941,-20.64989321746499
FR33305,FR,46.21164957142857,5.226389285714286,no2,3,19.288116333333335,15.180041333333333,-4.108075000000001,-21.29847689118563
FR34018,FR,47.99794733333333,2.719728533333333,no2,3,14.7588765,8.544722466666666,-6.214154033333333,-42.104519496001835
FR34024,FR,47.344260526315786,0.6536325631578948,no2,3,15.856354333333332,9.531561666666667,-6.324792666666665,-39.888063382707365
FR34024,FR,47.344260526315786,0.6536325631578948,pm25,3,13.570125666666668,12.432482833333333,-1.1376428333333344,-8.383436242803654
FR34038,FR,46.81479777777778,2.6102428888888887,no2,2,4.71756635,1.9548013499999999,-2.7627650000000004,-58.56335226742493
FR34046,FR,48.73140323076923,1.3638863692307692,no2,3,13.097583833333333,7.615432133333333,-5.4821517,-41.8562062267388
FR34051,FR,46.798296,1.6933397153846155,no2,3,11.425051666666667,7.3254245000000004,-4.099627166666666,-35.88278885974403
FR34057,FR,46.942966,2.003261,no2,3,16.217322,10.679410333333333,-5.537911666666666,-34.14812671701694
FR34057,FR,46.942966,2.003261,pm25,3,10.783664666666667,8.894845333333333,-1.888819333333334,-17.51556072743855
FR34061,FR,47.59454376923077,1.3023265615384616,no2,3,10.780621666666667,7.0705241333333335,-3.7100975333333333,-34.414504543878344
FR35005,FR,46.16998269230769,1.8699972307692307,no2,3,12.736673333333334,9.774149566666667,-2.962523766666667,-23.25979232672477
