mean,count,Lon,Lat,day,month,year,country,city,parameter,unit
3.825,8,-97.48025,35.4664,10,10,2017,US,Oklahoma City,pm25,µg/m³
4.34,5,-123.005936,44.943115,10,10,2017,US,Salem,pm25,µg/m³
0.02975,8,-110.09565,40.2556,10,10,2017,US,DUCHESNE,o3,ppm
6.67E-04,3,-79.02638,39.483616,10,10,2017,US,MINERAL,so2,ppm
24.047619,21,-99.1667,19.366133,10,10,2017,MX,DISTRITO FEDERAL,pm10,µg/m³
0.023195652,46,-99.07564,19.532112,10,10,2017,MX,MEXICO STATE,o3,ppm
7.5,11,-71.23397,-34.974926,13,11,2017,CL,Curicó,pm25,µg/m³
7.5194616,44,22.099068,56.15218,3,11,2017,LT,Telšiai,so2,µg/m³
-30.265,48,5.6062946,52.43595,17,11,2015,NL,Biddinghuizen,no2,µg/m³
-61.945835,24,4.12194,51.9778,17,11,2015,NL,Hoek v. Holland,no2,µg/m³
42.861458,48,5.124345,52.0845,17,11,2015,NL,Utrecht,o3,µg/m³
40.503296,91,21.23719,52.22401,17,11,2015,PL,Warszawa,no2,µg/m³
17.734444,9,-71.550095,-33.02042,17,11,2015,CL,Viña del Mar,pm25,µg/m³
69.583336,36,,,23,11,2017,IN,Dewas,pm25,µg/m³
0.8727273,44,21.161158,55.698486,29,10,2017,LT,Klaipeda,pm10,µg/m³
18.527779,72,7.178523,43.651287,23,10,2017,FR,Alpes-Maritimes,pm10,µg/m³
1.0885714,14,4.966111,48.645836,23,10,2017,FR,Haute-Marne,so2,µg/m³
2.603125,48,-3.385232,47.747364,23,10,2017,FR,Morbihan,no2,µg/m³
6.0277777,18,-7.790833,41.371387,23,10,2017,PT,Vila Real,pm10,µg/m³
4.2872224,18,-71.61955,-35.435726,19,11,2017,CL,Maule,pm25,µg/m³
8.136364,22,-3.182186,55.945587,20,11,2017,GB,Edinburgh,pm10,µg/m³
12.261905,42,-1.455945,53.237926,20,11,2017,GB,Chesterfield,pm10,µg/m³
22.818182,22,1.049031,51.77798,20,11,2017,GB,St Osyth,no2,µg/m³
26.445303,66,76.61946,28.876028,30,8,2017,IN,Rohtak,no2,µg/m³
0.6922222,9,100.13193,15.707849,30,8,2017,TH,Nakhon Sawan,co,ppm
4.6666665,12,18.977,43.661,18,11,2017,BA,Goražde,o3,µg/m³
17.916666,120,13.823662,50.609028,18,11,2017,CZ,Ústecký,pm25,µg/m³
78.3821,19,12.088899,55.694206,18,11,2017,DK,Sjælland,o3,µg/m³
12.384615,13,-4.6779485,42.37752,18,11,2017,ES,Palencia,pm10,µg/m³
31.37857,56,-8.700576,42.38006,18,11,2017,ES,Pontevedra,pm10,µg/m³
0.72432435,37,3.0594416,42.143147,18,11,2017,ES,Girona,so2,µg/m³
4.95352,34,18.219454,46.074883,18,11,2017,HU,Baranya,so2,µg/m³
0.011706364,10291,34.98487,32.47437,18,11,2017,IL,שרון,no2,ppm
176.79546,44,,,18,11,2017,IN,Moradabad,pm25,µg/m³
48.541668,24,34.99276,41.945778,18,11,2017,TR,Sinop,o3,µg/m³
60.833332,72,120.61271,22.384752,18,11,2017,TW,屏東縣,pm10,µg/m³
3.128553,1548,147.02527,-41.886856,23,11,2017,AU,Tasmania Region,pm25,µg/m³
6.3,15,-105.233536,40.043156,19,10,2017,US,Boulder,pm25,µg/m³
0.032742064,252,-95.28796,29.706778,19,10,2017,US,Houston-Sugar Land-Baytown,o3,ppm
15.785714,14,-89.6803,43.4356,19,10,2017,US,Baraboo,pm10,µg/m³
-8.00E-04,5,-80.7464,39.9679,1,11,2017,US,BELMONT,so2,ppm
21.285484,62,18.642284,44.53199,18,11,2017,BA,Tuzla,no2,µg/m³
