countryCode,date,parameter,mean
AUS,2020-02-22,no2,0.00788269474475286
AUS,2020-02-22,o3,0.03255329538685828
AUS,2020-02-22,pm25,4.463088553472968
AUS,2020-02-23,no2,0.009260780948624746
AUS,2020-02-23,o3,0.03716974807430178
AUS,2020-02-23,pm25,4.231247527116378
AUS,2020-02-24,no2,0.017486507174517926
AUS,2020-02-24,o3,0.031229066727193305
AUS,2020-02-24,pm25,5.844441756907256
AUS,2020-02-25,no2,0.01576851556057918
AUS,2020-02-25,o3,0.02986304013348615
AUS,2020-02-25,pm25,5.477918558364155
AUS,2020-02-26,no2,0.011133113040368526
AUS,2020-02-26,o3,0.03600764926506613
AUS,2020-02-26,pm25,5.254719339550149
AUS,2020-02-27,no2,0.009828670124890165
AUS,2020-02-27,o3,0.03302387947368067
AUS,2020-02-27,pm25,6.655845910996612
AUS,2020-02-28,no2,0.01118178909457207
AUS,2020-02-28,o3,0.0326225358349235
AUS,2020-02-28,pm25,5.3672343006863725
AUS,2020-02-29,no2,0.01028175596091785
AUS,2020-02-29,o3,0.030510119046030196
AUS,2020-02-29,pm25,NA
AUS,2020-03-01,no2,0.010774874855645343
AUS,2020-03-01,o3,0.035689986279093026
AUS,2020-03-01,pm25,5.254350644203448
AUS,2020-03-02,no2,0.013109917222508205
AUS,2020-03-02,o3,0.041282995122560014
AUS,2020-03-02,pm25,6.883065296570549
AUS,2020-03-03,no2,0.009762529466579723
AUS,2020-03-03,o3,0.034141250952906065
AUS,2020-03-03,pm25,NA
AUS,2020-03-04,no2,0.016134217469494467
AUS,2020-03-04,o3,0.024944085520138617
AUS,2020-03-04,pm25,NA
AUS,2020-03-05,no2,0.01421597912797024
AUS,2020-03-05,o3,0.025813552458949465
AUS,2020-03-05,pm25,NA
AUS,2020-03-06,no2,0.009477777476549855
AUS,2020-03-06,o3,0.033690296599384814
AUS,2020-03-06,pm25,NA
AUS,2020-03-07,no2,0.004639559459763959
AUS,2020-03-07,o3,0.03647569635614299
AUS,2020-03-07,pm25,NA
AUS,2020-03-08,no2,0.006239232972366629
AUS,2020-03-08,o3,0.030946363694698935
AUS,2020-03-08,pm25,NA
AUS,2020-03-09,no2,0.008390495513926323
AUS,2020-03-09,o3,0.03050081970817922
AUS,2020-03-09,pm25,NA
AUS,2020-03-10,no2,0.015517388184560369
AUS,2020-03-10,o3,0.02897101328600048
AUS,2020-03-10,pm25,NA
AUS,2020-03-11,no2,0.016849571873498368
AUS,2020-03-11,o3,0.027980263915492104
AUS,2020-03-11,pm25,NA
AUS,2020-03-12,no2,0.014470414350656659
AUS,2020-03-12,o3,0.03322387410447083
AUS,2020-03-12,pm25,NA
AUS,2020-03-13,no2,0.013536178672196595
AUS,2020-03-13,o3,0.031996908766988436
AUS,2020-03-13,pm25,NA
AUS,2020-03-14,no2,0.007182552245646554
AUS,2020-03-14,o3,0.032206289253026765
AUS,2020-03-14,pm25,NA
AUS,2020-03-15,no2,0.004792962567134076
AUS,2020-03-15,o3,0.03341471535966753
AUS,2020-03-15,pm25,NA
AUS,2020-03-16,no2,0.009448509136481353
AUS,2020-03-16,o3,0.02933728016513805
AUS,2020-03-16,pm25,NA
AUS,2020-03-17,no2,0.013195099085182356
AUS,2020-03-17,o3,0.02708759950674899
AUS,2020-03-17,pm25,NA
AUS,2020-03-18,no2,0.017001776199419727
AUS,2020-03-18,o3,0.0339652141456737
AUS,2020-03-18,pm25,NA
AUS,2020-03-19,no2,0.018757470942362013
AUS,2020-03-19,o3,0.044276565368057796
AUS,2020-03-19,pm25,NA
AUS,2020-03-20,no2,0.015464651104014758
AUS,2020-03-20,o3,0.043490682437804004
AUS,2020-03-20,pm25,NA
AUS,2020-03-21,no2,0.007110067462447329
AUS,2020-03-21,o3,0.040008692558147575
AUS,2020-03-21,pm25,NA
AUS,2020-03-22,no2,0.006850628972577963
AUS,2020-03-22,o3,0.038875578193356075
AUS,2020-03-22,pm25,NA
AUS,2020-03-23,no2,0.00835852362995359
AUS,2020-03-23,o3,0.03601004967070838
AUS,2020-03-23,pm25,NA
AUS,2020-03-24,no2,0.013024135125793425
AUS,2020-03-24,o3,0.0270712955773037
AUS,2020-03-24,pm25,NA
AUS,2020-03-25,no2,0.013393958093451758
AUS,2020-03-25,o3,0.03009692987579258
AUS,2020-03-25,pm25,NA
AUS,2020-03-26,no2,0.011905179545975118
AUS,2020-03-26,o3,0.03127435711232307
AUS,2020-03-26,pm25,NA
AUS,2020-03-27,no2,0.014942021660908125
AUS,2020-03-27,o3,0.030766603515233613
AUS,2020-03-27,pm25,NA
AUS,2020-03-28,no2,0.01190845920280222
AUS,2020-03-28,o3,0.031046781167048874
AUS,2020-03-28,pm25,NA
AUS,2020-03-29,no2,0.00621918934688577
AUS,2020-03-29,o3,0.03391026019122845
AUS,2020-03-29,pm25,NA
AUS,2020-03-30,no2,0.015283646001318724
AUS,2020-03-30,o3,0.024391606884924085
AUS,2020-03-30,pm25,NA
AUS,2020-03-31,no2,0.015212895115309263
AUS,2020-03-31,o3,0.031039578116781815
AUS,2020-03-31,pm25,NA
AUS,2020-04-01,no2,0.014029200749308694
AUS,2020-04-01,o3,0.032498273763630285
AUS,2020-04-01,pm25,NA
AUS,2020-04-02,no2,0.016222599879473262
AUS,2020-04-02,o3,0.02950707618597627
AUS,2020-04-02,pm25,NA
AUS,2020-04-03,no2,0.012644076204996982
AUS,2020-04-03,o3,0.029735283237537623
AUS,2020-04-03,pm25,NA
AUS,2020-04-04,no2,0.0038978776508195425
AUS,2020-04-04,o3,0.0396819280560286
AUS,2020-04-04,pm25,NA
AUS,2020-04-05,no2,0.004949072591842178
AUS,2020-04-05,o3,0.035634317419790174
AUS,2020-04-05,pm25,NA
AUS,2020-04-06,no2,0.011202633023429272
AUS,2020-04-06,o3,0.029683115301552234
AUS,2020-04-06,pm25,NA
AUS,2020-04-07,no2,0.012456605443540587
AUS,2020-04-07,o3,0.031088229201043153
AUS,2020-04-07,pm25,NA
AUS,2020-04-08,no2,0.013435650330389588
AUS,2020-04-08,o3,0.03098304917217364
AUS,2020-04-08,pm25,NA
AUS,2020-04-09,no2,0.017446909648341377
AUS,2020-04-09,o3,0.02495613854099343
AUS,2020-04-09,pm25,NA
AUS,2020-04-10,no2,0.010102648328763697
AUS,2020-04-10,o3,0.02749240403730737
AUS,2020-04-10,pm25,NA
AUS,2020-04-11,no2,0.003993307176503295
AUS,2020-04-11,o3,0.04243657833581169
AUS,2020-04-11,pm25,NA
AUS,2020-04-12,no2,0.00764324557729627
